Heat_Number,Date,BOF Grade Code,Hot Metal Addn. Weight,Scrap Addn. Weight,Lime Into Converter,Dolomite Into Converter,Lime Into Ladle,Iron Ore Into Converter,SIMN Into Ladle,FESI Into Ladle,FEMN Into Ladle,Measered O2 Mainblow II,Duration of Mainblow I/II,Measered O2 2nd Blow,HM_P,HM_S,HM_Si,Total_FA_Ladle,HM_Ratio,O2_per_ton_HM,Lime_Dolo_Ratio,SiMn_FA_Fraction,Grade_Encoded,C,Mn,P,S,Si
23100002,2023-04-01,R34,129.2,0.0,10515.0,3018.0,990.0,4279.0,1035.0,271.0,0.0,6706.0,1063.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1306.0,0.9999999999922602,51.90402476740013,3.4840954274342333,0.7924961715154728,66,0.63,0.74,0.02,0.021,0.25
23100014,2023-04-01,C20MMNACU,127.59,7.48,10731.0,2190.0,792.0,1850.0,1712.0,251.0,0.0,7320.0,1199.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1963.0,0.9446213074632072,57.37126734025102,4.899999999997762,0.8721344880280835,39,0.19,0.87,0.026,0.02,0.22
23100021,2023-04-01,S.TOWER6VAN,132.88,7.43,11202.0,3834.0,687.0,2991.0,2446.0,97.0,422.0,6706.0,1549.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2965.0,0.9470458270903924,50.466586393358924,2.9217527386533853,0.8249578414837015,67,0.19,1.27,0.019,0.025,0.21
23100023,2023-04-01,S.TOWER6VAN,121.78,13.6,11082.0,2712.0,599.0,3531.0,2452.0,149.0,422.0,6849.0,1646.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,3023.0,0.899542029835282,56.24076202942814,4.086283185839201,0.8111147866355239,67,0.19,1.35,0.02,0.02,0.2
23100025,2023-04-01,1786500D,125.5,8.29,11298.0,3501.0,521.0,4282.0,1713.0,336.0,0.0,7233.0,1474.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2049.0,0.9380372225058822,57.63346613499893,3.2270779777197296,0.836017569545712,2,0.23,0.82,0.015,0.02,0.2
23100035,2023-04-01,S.TOWER6VAN,126.42,0.0,8874.0,432.0,727.0,1758.0,2331.0,125.0,376.0,5178.0,3214.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2832.0,0.9999999999920899,40.958709064697366,20.54166666661912,0.8230932203386924,67,0.2,1.31,0.018,0.031,0.24
23100038,2023-04-01,C20MMNC(BSP),124.6,8.15,9573.0,1650.0,814.0,3307.0,1682.0,277.0,0.0,6604.0,1481.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1959.0,0.9386064030061122,53.00160513601122,5.8018181818146655,0.8586013272073207,43,0.23,0.76,0.019,0.02,0.23
23100007,2023-04-01,C20MMNC(BSP),120.42,7.28,8394.0,1992.0,0.0,3175.0,0.0,0.0,0.0,6519.0,1003.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,0.0,0.9429913860536961,54.13552565973978,4.213855421684632,0.0,43,0.22,0.79,0.019,0.028,0.21
23200097,2023-04-02,2062BK1,124.5,8.28,9984.0,1653.0,594.0,4141.0,1667.0,260.0,179.0,5806.0,1011.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2106.0,0.9376412110186954,46.63453815223587,6.03992740471504,0.7915479582142491,6,0.22,0.81,0.022,0.021,0.2
23100043,2023-04-02,S.TOWER6VAN,126.64,8.14,9780.0,1854.0,807.0,3970.0,2230.0,108.0,551.0,6402.0,996.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2889.0,0.9396052826759194,50.55274794653701,5.275080906146022,0.7718933887155515,67,0.2,1.3,0.022,0.027,0.23
23100045,2023-04-02,2062BK1,124.26,0.0,9981.0,1785.0,767.0,4310.0,1659.0,257.0,0.0,6094.0,1830.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1916.0,0.9999999999919523,49.04233059674036,5.591596638652329,0.8658663883085251,6,0.22,0.88,0.016,0.028,0.23
23100048,2023-04-02,2062BK1,123.87,8.29,9249.0,1857.0,747.0,3813.0,1671.0,261.0,0.0,6677.0,1095.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1932.0,0.9372730024142156,53.903285702317724,4.980613893373731,0.8649068322976889,6,0.2,0.76,0.017,0.023,0.19
23100074,2023-04-02,2062BK1,121.6,8.88,9522.0,1485.0,798.0,2239.0,1766.0,275.0,0.0,5237.0,1150.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2041.0,0.9319435928806565,43.067434210172145,6.412121212116895,0.8652621264081993,6,0.18,0.76,0.019,0.02,0.18
23100068,2023-04-02,C20MMNC(BSP),122.47,8.87,11490.0,2484.0,631.0,2443.0,1748.0,260.0,0.0,6576.0,1051.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2008.0,0.9324653570813731,53.69478239525031,4.625603864732438,0.870517928286419,43,0.22,0.83,0.015,0.025,0.23
23100071,2023-04-02,2062BK1,120.47,11.54,10995.0,2931.0,734.0,2651.0,1709.0,271.0,0.0,6862.0,1191.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1980.0,0.9125823801158052,56.960239063194486,3.7512794268155063,0.8631313131308772,6,0.19,0.76,0.016,0.019,0.2
23200085,2023-04-02,C20MMNC(BSP),116.36,7.42,8028.0,1011.0,822.0,4082.0,1667.0,307.0,243.0,5879.0,998.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2217.0,0.9400549361694938,50.52423513191368,7.940652818983244,0.7519170049613207,43,0.21,0.87,0.021,0.022,0.21
23100078,2023-04-02,C20MMNC(BSP),126.7,8.15,9705.0,1983.0,787.0,2908.0,1712.0,233.0,0.0,6574.0,1150.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1945.0,0.9395624768191357,51.88634569809087,4.894099848711601,0.8802056555265397,43,0.21,0.84,0.02,0.02,0.22
23100081,2023-04-02,C20MMNC(BSP),121.31,7.43,11295.0,1986.0,842.0,5195.0,1729.0,345.0,0.0,6462.0,1085.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2074.0,0.9422867795483744,53.268485697359914,5.687311178244871,0.8336547733843618,43,0.21,0.83,0.022,0.019,0.22
23100057,2023-04-02,1786500D,119.9,8.69,11067.0,2523.0,617.0,2671.0,1689.0,298.0,0.0,6522.0,1116.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,1987.0,0.932420872533382,54.395329440747325,4.386444708678404,0.8500251635627327,2,0.19,0.79,0.014,0.026,0.197
23200083,2023-04-02,2062BK1,119.5,10.22,10593.0,1128.0,962.0,3205.0,1654.0,300.0,246.0,5632.0,914.0,278.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2200.0,0.9212149244455659,47.12970711257632,9.390957446800185,0.7518181818178401,6,0.21,0.84,0.02,0.021,0.2
23200070,2023-04-02,C20MMNC(BSP),122.5,9.05,10527.0,2907.0,891.0,3045.0,1684.0,267.0,176.0,5498.0,928.0,0.0,0.13458333333333333,0.035124999999999997,0.9711249999999999,2127.0,0.9312048650632367,44.88163265269484,3.621259029926515,0.791725434884442,43,0.21,0.81,0.015,0.025,0.21
